 Year, Life expectancy
1972,71
1973,72
1974,71
1975,73
1976,73
1977,73
1978,73
1979,74
1980,74
1981,75
1982,75
1983,75
1984,75
1985,75
1986,76
1987,76
1988,76
1989,76
1990,77
1991,78
1992,78
1993,78
1994,78
1995,78
1996,79
1997,79
1998,79
1999,80
2000,80
2001,81
2002,81
2003,81
2004,81
2005,82
2006,82
2007,82
2008,82
2009,82
2010,83
2011,83
2012,83
2013,83
2014,83
2015,83
2016,83
2017,83
2018,84
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
