 Year,Per 100 Thousand,,,,,
1980,1045,,,,,
1981,1037,,,,,
1982,1048,,,,,
1983,994,,,,,
1984,985,,,,,
1985,1010,,,,,
1986,925,,,,,
1987,943,,,,,
1988,922,,,,,
1989,957,,,,,
1990,877,,,,,
1991,840,,,,,
1992,847,,,,,
1993,798,,,,,
1994,827,,,,,
1995,792,,,,,
1996,778,,,,,
1997,762,,,,,
1998,730,,,,,
1999,715,,,,,
2000,700,,,,,
2001,662,,,,,
2002,668,,,,,
2003,654,,,,,
2004,641,,,,,
2005,611,,,,,
2006,610,,,,,
2007,606,,,,,
2008,602,,,,,
2009,576,,,,,
2010,561,,,,,
2011,570,,,,,
2012,562,,,,,
2013,538,,,,,
2014,548,,,,,
2015,541,,,,,
2016,531,,,,,
2017,536,,,,,
2018,506,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
