 Year, Males, Females
1971,2373784,2351719
1972,2407712,2387394
1973,2428527,2413371
1974,2452418,2441635
1975,2467784,2464232
1976,2476978,2482610
1977,2496098,2505790
1978,2519784,2534006
1979,2546874,2564256
1980,2576617,2594910
1981,2608351,2626538
1982,2643527,2660053
1983,2668049,2684910
1984,2692083,2710646
1985,2723253,2741259
1986,2756990,2774536
1987,2798066,2818670
1988,2842852,2864457
1989,2876807,2899476
1990,2905892,2928129
1991,2936262,2962469
1992,2964164,2993658
1993,2981014,3014041
1994,3004486,3040333
1995,3033790,3071770
1996,3066993,3109468
1997,3099735,3146532
1998,3128919,3176880
1999,3163238,3211865
2000,3199392,3247166
2001,3241835,3288514
2002,3265784,3315023
2003,3283709,3337006
2004,3297397,3353338
2005,3316494,3376712
2006,3339035,3403655
2007,3387138,3447018
2008,3445097,3498364
2009,3502936,3550819
2010,3548107,3596185
2011,3585109,3633420
2012,3627478,3680727
2013,3675151,3733931
2014,3726579,3790616
2015,3779438,3847980
2016,3834414,3904860
2017,3895685,3965383
2018,3948753,4013821
2019,4005922,4068302
2020,4063092,4122782
2021,4120261,4177263
2022,4174259,4232698
2023,4228258,4288133
2024,4282256,4343568
2025,4336254,4399003
2026,4390253,4454438
2027,4443596,4509528
2028,4496940,4564618
2029,4550284,4619708
2030,4603627,4674798
2031,4656971,4729888
2032,4710069,4784528
2033,4763166,4839169
2034,4816264,4893809
2035,4869361,4948449
2036,4922458,5003089
