 Age ,1971,2017,,1971 Pop Perc,2017 Pop Perc,,,,New Pop Perc,Newer Pop Perc,,Age.Bracket
 0-4,"429,750","494,209",,9.094269964,6.286792075,,,,45,31,,0-24
 5-9,"432,545","504,653",,9.153417107,6.41964934,,,,32,35,,25-49
 10-14,"435,452","465,964",,9.214934368,5.927489751,,,,17,23,,50-69
 15-19,"398,938","469,802",,8.442233557,5.976312633,,,,5,11,,70-85+
 20-24,"416,024","539,709",,8.803803532,6.865593835,,,,,,,
 25-29,"357,088","590,140",,7.55661355,7.507122442,,,,,,,
 30-34,"303,370","583,280",,6.419845676,7.419856946,,,,,,,
 35-39,"277,471","531,621",,5.871777036,6.762707052,,,,,,,
 40-44,"297,091","510,501",,6.286970932,6.494041268,,,,,,,
 45-49,"297,498","514,243",,6.295583772,6.541642942,,,,,,,
 50-54,"255,157","487,243",,5.399573336,6.198178161,,,,,,,
 55-59,"230,992","485,482",,4.888199203,6.175776625,,,,,,,
 60-64,"192,628","431,760",,4.076349121,5.492383478,,,,,,,
 65-69,"146,095","385,911",,3.091628553,4.909142117,,,,,,,
 70-74,"109,385","314,353",,2.314780035,3.998858679,,,,,,,
 75-79,"75,009","224,180",,1.587323085,2.851775357,,,,,,,
 80-84,"46,015","158,122",,0.973758772,2.011456967,,"47,255","78,611",,,,
85+,"24,995","169,895",,0.528938401,2.161220333,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
